Username,Currency,"First name","Last name",E-mail,Country,Advertiser,"VIP Level","Signed up","First deposit","Last deposit date","Wants mail",Deposits,"Deposit count","Average deposit","Approved Withdrawals","Approved Withdrawal count",Credits,"Credit count",Chargebacks,"Chargeback count",Returns,"Return count","Credit reverse","Credit reverse count","Chargeback reverses","Chargeback reverse count","Return reverses","Return reverse count","Casino bonuses","Casino bonus count","Redeemed bonus initial amounts","Redeemed bonus pending winnings","Poker Bonuses","Poker Bonus count","Poker bonus reverses","Casino comps converted","Casino Comps count","Casino progressive share","Casino progressive wins","Casino Bets","Casino Wins","Casino game count","Net Loss",Kiosk,"Kiosk admin","Player realbalance change","Bonus balance change","Declined withdraw requests","Withdraw requests","Transfer deposits","Transfer withdraws","Casino bonuses removed","Old Poker Rakes","Old Poker Tournament Fees","Poker game deposits","Poker game withdrawals","Poker rounding","Poker VIP level","Poker frozen",Frozen,"Poker nickname","Signup skin",Language,Casino,Sportsbook wins,"Sportsbook bets","Sportsbook bonus redemptions","Sportsbook gross income","Sportsbook cancelled bets","House correction revenue","House correction loss","Player correction revenue","Player correction loss","Bingo net gaming","Bingo network adjustments","Bingo redemption expenses","Bingo ingame bet","Bingo ingame win","Backbet wins","Backbet bets","Cancelled Backbet bets","House earnings","Bingo side games progressive bets","Bingo side games prog. contr.","Bingo side games prog. refund","Backbet bets revenue","Received bets from external wallet","Paid wins to external wallet","Poker tokens won","Player balance correction deposit","Player balance correction withdraw","Player and operator revenue correction deposit","Player and operator revenue correction withdraw","Player revenue correction deposit","Player revenue correction withdraw","Bonus parent corrections","Bonus tips","Total tips","Current credit limit","Pool bets","Pool wins","Fundtransfers in","Fundtransfers out","Widget bet","Widget win","Widget cancel bet","Widget fees","Transfers to FOBT","Transfers from FOBT","FOBT bets","FOBT wins","Dormant account fees","Bingo VIP level","Bingo Points","Redeemed cash award/AW award","Binary option bets placed","Binary option bets recognized","Binary option wins","Binary option insured returns","Deposit service fee","Deposit service fee bonus","Paid taxes","Poker SBR Rake","Poker SBR Tournament Fees","Poker RPV Rake","Poker RPV Fees","Redeemed Poker Prewager Bonus","Used poker prewager bonus","Redeemed Poker Cash Bonus","Sportsbook cash-outs","Sportsbook Token wins","SportsBook Opt-ins takings","Redeemed Bingo Pending Winnings","Sportsbook Cash Bet Adjustments","Sportsbook Cash Bets","Sportsbook Cash Payouts","Sportsbook Cancelled Cash Bets","Sportsbook Payouts to Account","Sportsbook Uncollected Payouts","Casino Converted Loyalty Points","Sportsbook Converted Loyalty Points","Poker Converted Loyalty Points","Bingo Converted Loyalty Points","Sportsbook Voucher Bets","Sportsbook Cancelled Voucher Bets","Sportsbook Loyalty Point Bets","Sportsbook Cancelled Loyalty Point Bets","Sportsbook Cash Token Wins","Sportsbook Voided Bets","Sportsbook Voided Cash Bets","Winnings from Cash Purchased Goods"
GTSSTG02,CNY,Dafabet,Player,gtsstg02@dafamember.com,China,defaultmq,16,2017-06-11,"2017-06-11 02:02:05","2017-06-11 02:02:05",1,1470.98,1,1470.98,14.71,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,1456.27,0.00,0.00,14.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MGLQA112,USD,Dafabet,Player,mglqa112@dafamember.com,China,defaultmq,16,2017-06-06,"2017-06-06 14:40:23","2017-06-06 14:40:23",1,1000.00,1,1000.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MGLSTG47,USD,Dafabet,Player,mglstg47@dafamember.com,"Cocos Islands",defaultmq,16,2017-05-30,"2017-06-06 14:31:05","2017-06-06 14:31:05",1,1000.00,1,1000.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MGLTCT03,USD,Dafabet,Player,mgltct03@dafamember.com,China,defaultmq,16,2017-05-04,"2017-05-04 14:40:39","2017-06-06 14:29:50",1,500.00,1,750.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MGLUAT01,USD,Dafabet,Player,mgluat01@dafamember.com,China,defaultmq,16,2017-02-14,"2017-06-06 14:33:47","2017-06-06 14:33:47",1,1000.00,1,1000.00,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGSTGRMBPIA,CNY,Dafabet,Player,ogstgrmbpia@dafamember.com,China,defaultmq,16,2017-06-09,"2017-06-09 18:55:59","2017-06-09 18:55:59",1,14.72,1,14.72,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,14.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGSTGRMBPIA2,CNY,Dafabet,Player,ogstgrmbpia2@dafamember.com,China,defaultmq,16,2017-06-09,"2017-06-09 19:12:03","2017-06-09 19:12:03",1,147.19,1,147.19,14.72,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,132.47,0.00,0.00,14.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGSTGRMBPIA3,CNY,Dafabet,Player,ogstgrmbpia3@dafamember.com,China,defaultmq,16,2017-06-09,"2017-06-09 19:21:04","2017-06-09 19:21:04",1,147.19,1,147.19,88.31,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,58.88,0.00,0.00,88.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OGTESTINGRMB01,CNY,Dafabet,Player,ogtestingrmb01@dafamember.com,China,defaultmq,16,2017-03-27,"2017-06-09 15:53:28","2017-06-14 17:51:26",1,121.00,7,17.29,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,121.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG02,CNY,Dafabet,Player,qaauttctrmbsg02@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:25:07","2017-06-22 07:53:58",1,161.49,55,3.86,135.09,46,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,26.39,0.00,0.00,135.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG03,CNY,Dafabet,Player,qaauttctrmbsg03@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:26:12","2017-06-06 08:02:35",1,11.70,4,10.41,93.97,32,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-82.27,0.00,0.00,93.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG05,CNY,Dafabet,Player,qaauttctrmbsg05@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:29:52","2017-06-14 00:49:01",1,11.78,4,16.32,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,11.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG06,CNY,Dafabet,Player,qaauttctrmbsg06@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:31:16","2017-05-12 13:20:38",1,0.00,0,725.67,173.43,59,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-173.43,0.00,0.00,173.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG07,CNY,Dafabet,Player,qaauttctrmbsg07@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:35:34","2017-06-14 00:59:13",1,11.78,4,20.57,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,11.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG09,CNY,Dafabet,Player,qaauttctrmbsg09@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:38:32","2017-06-14 01:15:55",1,11.78,4,17.11,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,11.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTRMBSG20,CNY,Dafabet,Player,qaauttctrmbsg20@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:41:57","2017-06-22 01:41:26",1,87.93,6,17.82,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,87.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTUSDSG01,USD,Dafabet,Player,qaauttctusdsg01@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 14:26:16","2017-06-21 04:20:17",1,1470.00,98,19.09,1665.00,111,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-195.00,0.00,0.00,1665.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTUSDSG03,USD,Dafabet,Player,qaauttctusdsg03@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:39:56","2017-06-22 01:05:01",1,105.00,7,230.10,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTUSDSG05,USD,Dafabet,Player,qaauttctusdsg05@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:22:56","2017-06-21 06:30:13",1,495.00,33,26.45,495.00,33,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,0.00,0.00,0.00,495.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QAAUTTCTUSDSG08,USD,Dafabet,Player,qaauttctusdsg08@dafamember.com,China,defaultmq,18,2017-04-20,"2017-04-20 16:44:13","2017-04-20 16:44:13",1,0.00,0,1000.00,75.00,5,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0.00,,,-75.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,"Not frozen","Not frozen",,mannycasino,EN,mannycasino,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
